storeId,productCode,quantity,logQuantity,advertising,price,weekStarting,id
2,surface.go,105,9.264828557,1,159,6/15/2017,d6bd47a7-2ad6-4f0a-b8de-ed1386cae5ea
2,surface.go,80,8.987196821,0,269,7/27/2017,64cc74c2-c7da-4e12-af64-c95bdf429934
2,surface.go,68,8.831711918,1,209,8/3/2017,9a2d164b-5e44-44d7-9837-cf9ae6566c99
2,surface.go,28,7.965545573,0,209,8/10/2017,b8cd9987-1d5a-4f4f-9346-719d73b1f7f0
2,surface.go,16,7.377758908,0,209,8/24/2017,ac0ec099-e102-4bfc-9775-983b151dcd03
2,surface.go,253,10.1402973,1,189,8/31/2017,3d22c002-b04c-4092-abcb-b3bf01c9da8f
2,surface.go,107,9.282847063,0,189,9/7/2017,b6e19699-d684-449e-9c98-c19d5288bc7b
2,surface.go,66,8.803273983,0,189,9/14/2017,e89a5838-fb8f-413a-a23d-4d000c4b5282
2,surface.go,65,8.793612072,0,179,9/21/2017,c3278682-16c0-4832-b76f-5d4a3e7a5df0
2,surface.go,17,7.454719949,0,269,10/12/2017,f40190c1-b2ed-46f4-a5e0-8df5899d41dc
2,surface.go,337,10.42797937,1,124,10/19/2017,5294a983-5044-4068-b925-e778d938a627
2,surface.go,19,7.560080465,0,159,10/26/2017,0a3f3796-07a3-450f-a6bc-516d5f2bf1ad
2,surface.go,89,9.100525506,1,159,11/2/2017,d0eab000-a45e-474f-864e-2849f80ba156
2,surface.go,113,9.340666634,0,129,11/9/2017,932a3bff-2f5f-4e8b-bc4d-c02180b37fa0
2,surface.go,284,10.25470765,0,99,11/16/2017,658edd84-5873-4b37-a078-5ac145eb540e
2,surface.go,171,9.749870064,1,159,11/23/2017,c1dc14fb-29a5-490a-9191-34ed07fd4d6c
2,surface.go,265,10.1871616,1,249,11/30/2017,6fb16536-dd0c-49cc-a7a6-9e7a23ce793f
2,surface.go,63,8.754002934,0,269,12/7/2017,241dd46b-fb0e-48c9-92e4-6ad65bb9319e
2,surface.go,263,10.17990643,1,139,12/14/2017,25da81a1-e423-4a0b-9142-deac11f77f93
2,surface.go,8,6.797940413,0,269,12/21/2017,eed8291c-4f02-419f-8aad-6c6a9abede24
2,surface.go,14,7.294377299,0,269,12/28/2017,8b964b5a-3eee-4132-907f-4299c568587a
2,surface.go,13,7.203405521,0,269,1/4/2018,be1e79fa-311c-4e46-a215-6ac770effab4
2,surface.go,1116,11.62339292,1,99,1/11/2018,896b1fa5-fc91-4955-8d9c-9c01ae5c74e9
2,surface.go,18,7.526178913,0,269,1/18/2018,90cd5b43-0f6e-4fd5-b4c5-69e09f7848c7
2,surface.go,55,8.624791202,0,269,1/25/2018,7a35a43e-79a0-4b13-b306-6bac3f7b5a87
2,surface.go,320,10.37548918,1,149,2/1/2018,6821e07f-568f-4b9a-8484-5e6959d05155
2,surface.go,43,8.378390789,0,149,2/8/2018,5d23c961-852f-4efe-944d-2a79359e8afe
2,surface.go,7,6.556778356,0,269,2/15/2018,c23fbbb9-f12e-4c2f-beb6-ba7ae0d2a634
2,surface.go,137,9.529521112,0,269,2/22/2018,95ca8d77-03ed-4d1e-b985-0a0a4c1a5aef
2,surface.go,433,10.67655436,1,109,3/1/2018,df613dbf-9768-4819-a2c8-08f978beed9e
